iter	Passed	Remaining
0	1	123
1	2	100
2	2	92
3	3	85
4	4	82
5	5	85
6	6	84
7	7	82
8	8	82
9	8	80
10	9	79
11	10	78
12	11	78
13	12	77
14	13	76
15	14	75
16	15	73
17	15	72
18	16	71
19	17	70
20	18	70
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	64
27	24	64
28	25	62
29	26	61
30	27	60
31	28	59
32	29	59
33	30	58
34	31	57
35	31	56
36	32	55
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	36
59	52	35
60	54	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	60	28
68	61	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	14
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	84	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
